Filename,Segment,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
minimal_seg0.txt,1,15,15,26.67,80,53.33,6.67,6.67,0,6.67,0,0,0,0,13.33,0,0,0,0,0,13.33,20,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,6.67,13.33,0,0,0,0,0,0,0,0,0,0,40,0,13.33,26.67,0,6.67,0,0,0,0,0,0,0,0,13.33,0,13.33,0,0,0,0,0,0,0,0,0
minimal_seg0.txt,2,29,14.5,6.9,86.21,65.52,10.34,10.34,0,0,0,10.34,0,0,6.9,20.69,13.79,6.9,0,6.9,10.34,13.79,10.34,0,3.45,0,0,10.34,0,0,0,0,0,0,0,0,0,24.14,0,0,6.9,0,3.45,0,13.79,0,3.45,0,0,0,0,0,0,0,0,31.03,3.45,17.24,10.34,0,0,0,3.45,0,0,0,0,0,0,10.34,3.45,3.45,0,0,0,0,0,0,3.45,0,0
minimal_seg0.txt,3,25,25,24,84,64,20,20,12,0,0,0,8,0,12,4,0,4,0,0,0,20,12,0,4,0,0,8,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,12,0,4,4,0,0,8,8,0,0,0,16,4,12,0,0,0,0,4,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0
minimal_seg0.txt,4,30,15,16.67,83.33,60,10,0,0,0,0,0,0,10,3.33,10,6.67,10,0,0,3.33,26.67,10,0,0,0,0,13.33,0,0,10,0,0,0,0,0,0,13.33,0,0,3.33,0,0,0,6.67,3.33,6.67,3.33,3.33,0,0,0,0,0,0,10,0,3.33,6.67,0,0,0,0,0,0,0,0,0,0,13.33,3.33,6.67,0,3.33,0,0,0,0,0,0,0
minimal_seg0.txt,5,26,13,15.38,69.23,53.85,0,0,0,0,0,0,0,0,7.69,7.69,7.69,0,7.69,0,7.69,19.23,11.54,3.85,7.69,0,0,3.85,0,0,3.85,0,0,0,0,0,0,3.85,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,11.54,0,7.69,3.85,3.85,3.85,0,0,0,0,0,0,0,0,11.54,7.69,3.85,0,0,0,0,0,0,0,0,0
minimal_seg0.txt,6,33,16.5,18.18,87.88,57.58,15.15,9.09,0,0,0,3.03,6.06,6.06,12.12,12.12,6.06,0,6.06,3.03,0,15.15,9.09,0,0,0,0,12.12,0,0,3.03,3.03,3.03,0,0,0,0,12.12,0,0,0,0,3.03,0,6.06,3.03,0,0,0,0,0,0,0,0,0,30.3,3.03,21.21,3.03,0,3.03,3.03,0,0,0,0,0,0,0,9.09,3.03,6.06,0,0,0,0,0,0,0,0,0
minimal_seg0.txt,7,25,12.5,20,88,60,20,16,0,8,0,0,8,4,4,4,4,0,0,4,16,8,8,0,4,0,0,16,0,0,0,12,4,8,4,0,4,24,0,0,0,4,4,0,12,4,0,0,0,0,8,0,8,0,0,12,0,8,4,4,4,0,0,0,0,0,0,0,4,16,4,12,0,0,0,0,0,0,0,0,0
